run,rank,alpha,target_modules,trainable_params,train_time_min,eval_time_min,peak_vram_gb,eval_loss,eval_perplexity
base,0,0,none,0,0.0,0.29520585934321086,6.997195264,2.200242257118225,9.027200138050128
r8,8,16,q_proj+v_proj,2293760,6.623938536643982,,6.444658176,1.5209736824035645,4.576679258429435
r16_all_layers,16,32,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj,24313856,7.102202065785726,,8.278797824,1.5180909633636475,4.563504975992242
r16_qv,16,32,q_proj+v_proj,4587520,7.223533578713735,,5.679250944,1.5109350681304932,4.530965575611295
r64,64,128,q_proj+v_proj,18350080,6.64263014793396,,7.425306112,1.4871805906295776,4.424603149147467
